,Warehouse_block,Mode_of_shipment,Customer_care_calls,Customer_rating,Cost_of_the_product_($),Prior_purchases,Prior_purchases_interval,Product_importance,Gender,Discount_offered_($),Discount_interval,Weight_in_gms,Weight_Category,Reached_on_Time_(0/1),Revenue_($)
0,D,Flight,4,2,177,3,2 - 4,Low,F,44,> 10,1233,Small,1,133
1,E,Flight,4,5,216,2,0 - 2,Low,M,59,> 10,3088,Medium,1,157
2,A,Flight,2,2,183,4,2 - 4,Low,M,48,> 10,3374,Medium,1,135
3,B,Flight,3,3,176,4,2 - 4,Medium,M,10,> 10,1177,Small,1,166
4,C,Flight,2,2,184,3,2 - 4,Medium,F,46,> 10,2484,Small,1,138
5,E,Flight,3,1,162,3,2 - 4,Medium,F,12,> 10,1417,Small,1,150
6,D,Flight,3,4,250,3,2 - 4,Low,F,3,0 - 4,2371,Small,1,247
7,E,Flight,4,1,233,2,0 - 2,Low,F,48,> 10,2804,Small,1,185
8,A,Flight,3,4,150,3,2 - 4,Low,F,11,> 10,1861,Small,1,139
9,B,Flight,3,2,164,3,2 - 4,Medium,F,29,> 10,1187,Small,1,135
10,C,Flight,3,4,189,2,0 - 2,Medium,M,12,> 10,2888,Medium,1,177
11,E,Flight,4,5,232,3,2 - 4,Medium,F,32,> 10,3253,Medium,1,200
12,D,Flight,3,5,198,3,2 - 4,Medium,F,1,0 - 4,3667,Medium,1,197
13,E,Flight,4,4,275,3,2 - 4,High,M,29,> 10,2602,Small,1,246
14,A,Flight,4,3,152,3,2 - 4,Low,M,43,> 10,1009,Small,1,109
15,B,Flight,4,3,227,3,2 - 4,Low,F,45,> 10,2707,Small,1,182
16,C,Flight,3,4,143,2,0 - 2,Medium,F,6,4 - 10,1194,Small,1,137
17,E,Ship,5,5,227,3,2 - 4,Medium,M,36,> 10,3952,Medium,1,191
18,D,Ship,5,5,239,3,2 - 4,High,M,18,> 10,2495,Small,1,221
19,E,Ship,4,5,145,3,2 - 4,Medium,M,45,> 10,1059,Small,1,100
20,A,Ship,3,3,161,2,0 - 2,Medium,F,38,> 10,1521,Small,1,123
21,B,Ship,3,1,232,4,2 - 4,Medium,F,51,> 10,2899,Medium,1,181
22,C,Ship,2,5,156,2,0 - 2,Low,M,2,0 - 4,1750,Small,1,154
23,E,Ship,4,3,211,3,2 - 4,High,M,12,> 10,3922,Medium,1,199
24,D,Ship,4,5,251,2,0 - 2,Medium,F,28,> 10,3561,Medium,1,223
25,E,Ship,3,1,225,4,2 - 4,Low,M,29,> 10,3496,Medium,1,196
26,A,Ship,4,1,172,3,2 - 4,High,F,24,> 10,1066,Small,1,148
27,B,Ship,5,1,162,3,2 - 4,Medium,M,31,> 10,1435,Small,1,131
28,C,Ship,2,3,234,4,2 - 4,Low,M,44,> 10,3134,Medium,1,190
29,E,Ship,5,4,183,2,0 - 2,Low,F,36,> 10,3819,Medium,1,147
30,D,Ship,3,4,266,2,0 - 2,Medium,F,38,> 10,2741,Small,1,228
31,E,Ship,5,3,257,2,0 - 2,Low,F,61,> 10,3341,Medium,1,196
32,A,Ship,3,1,223,3,2 - 4,Low,F,22,> 10,3795,Medium,1,201
33,B,Ship,4,2,234,3,2 - 4,Medium,M,4,0 - 4,3261,Medium,1,230
34,C,Ship,4,2,227,4,2 - 4,Medium,F,22,> 10,2460,Small,1,205
35,E,Ship,5,4,149,3,2 - 4,Medium,F,44,> 10,1811,Small,1,105
36,D,Ship,3,5,137,4,2 - 4,High,F,62,> 10,1477,Small,1,75
37,E,Ship,2,4,181,6,2 - 4,Medium,F,16,> 10,3605,Medium,1,165
38,A,Ship,5,1,215,4,2 - 4,Low,F,56,> 10,3905,Medium,1,159
39,B,Ship,4,2,269,5,2 - 4,Low,F,45,> 10,2383,Small,1,224
40,C,Ship,5,1,227,2,0 - 2,Low,M,15,> 10,3798,Medium,1,212
41,E,Ship,5,5,139,4,2 - 4,Medium,M,61,> 10,1265,Small,1,78
42,D,Ship,3,5,137,2,0 - 2,Medium,M,38,> 10,1647,Small,1,99
43,E,Ship,3,1,174,2,0 - 2,Low,M,44,> 10,1556,Small,1,130
44,A,Ship,3,1,151,2,0 - 2,Low,M,29,> 10,1328,Small,1,122
45,B,Ship,5,1,210,3,2 - 4,Low,F,9,4 - 10,2944,Medium,1,201
46,C,Ship,3,4,169,4,2 - 4,Medium,F,32,> 10,1245,Small,1,137
47,E,Ship,5,1,160,2,0 - 2,Low,M,32,> 10,1576,Small,1,128
48,D,Ship,5,4,190,2,0 - 2,Medium,M,9,4 - 10,3753,Medium,1,181
49,E,Ship,5,3,216,3,2 - 4,Low,F,40,> 10,2146,Small,1,176
50,A,Ship,4,1,183,3,2 - 4,Low,M,37,> 10,2042,Small,1,146
51,B,Ship,4,4,141,3,2 - 4,Low,M,22,> 10,1735,Small,1,119
52,C,Ship,4,3,165,3,2 - 4,Low,F,44,> 10,1320,Small,1,121
53,E,Ship,2,1,170,3,2 - 4,Low,M,41,> 10,1128,Small,1,129
54,D,Ship,4,3,203,3,2 - 4,High,M,12,> 10,3539,Medium,1,191
55,E,Ship,2,5,246,5,2 - 4,Low,M,46,> 10,2437,Small,1,200
56,A,Ship,3,3,238,3,2 - 4,Low,F,61,> 10,3096,Medium,1,177
57,B,Ship,3,3,193,3,2 - 4,Medium,F,29,> 10,3453,Medium,1,164
58,C,Ship,5,5,141,3,2 - 4,High,M,41,> 10,1367,Small,1,100
59,E,Ship,4,1,150,3,2 - 4,High,F,17,> 10,1923,Small,1,133
60,D,Ship,3,1,221,3,2 - 4,Low,F,64,> 10,2794,Small,1,157
61,E,Ship,3,3,179,3,2 - 4,Medium,M,52,> 10,1158,Small,1,127
62,A,Ship,5,1,105,6,2 - 4,Medium,M,62,> 10,1292,Small,1,43
63,B,Ship,3,1,177,3,2 - 4,Medium,M,61,> 10,1880,Small,1,116
64,C,Ship,4,5,261,2,0 - 2,High,M,49,> 10,3045,Medium,1,212
65,E,Ship,3,2,202,3,2 - 4,Low,M,49,> 10,2881,Small,1,153
66,D,Ship,3,2,109,3,2 - 4,Medium,F,15,> 10,1710,Small,1,94
67,E,Ship,3,3,158,3,2 - 4,Low,F,6,4 - 10,1878,Small,1,152
68,A,Ship,4,2,231,4,2 - 4,Medium,F,6,4 - 10,2512,Small,1,225
69,B,Ship,3,5,206,3,2 - 4,Medium,M,39,> 10,2929,Medium,1,167
70,C,Ship,5,1,187,4,2 - 4,High,M,14,> 10,3849,Medium,1,173
71,E,Ship,5,5,230,2,0 - 2,Low,F,2,0 - 4,2229,Small,1,228
72,D,Ship,5,5,232,3,2 - 4,Medium,F,33,> 10,2998,Medium,1,199
73,E,Ship,4,5,215,3,2 - 4,Medium,F,21,> 10,3984,Medium,1,194
74,A,Ship,6,1,238,6,2 - 4,Low,F,13,> 10,2442,Small,1,225
75,B,Ship,4,1,266,3,2 - 4,Low,F,23,> 10,3775,Medium,1,243
76,C,Ship,2,3,158,2,0 - 2,Medium,F,36,> 10,1788,Small,1,122
77,E,Ship,3,3,113,3,2 - 4,Low,F,43,> 10,1518,Small,1,70
78,D,Ship,3,4,223,3,2 - 4,Low,M,18,> 10,3959,Medium,1,205
79,E,Ship,3,5,257,2,0 - 2,Medium,F,56,> 10,3711,Medium,1,201
80,A,Ship,3,4,180,2,0 - 2,Medium,F,49,> 10,1942,Small,1,131
81,B,Ship,2,5,132,3,2 - 4,Low,M,18,> 10,1759,Small,1,114
82,C,Ship,4,4,217,3,2 - 4,High,F,26,> 10,2875,Small,1,191
83,E,Ship,5,5,162,3,2 - 4,High,F,31,> 10,1364,Small,1,131
84,D,Ship,4,5,197,2,0 - 2,Medium,F,40,> 10,2710,Small,1,157
85,E,Ship,3,4,197,3,2 - 4,Medium,M,13,> 10,2148,Small,1,184
86,A,Ship,4,1,185,2,0 - 2,Low,M,44,> 10,2910,Medium,1,141
87,B,Ship,6,2,278,3,2 - 4,Medium,F,3,0 - 4,2974,Medium,1,275
88,C,Ship,3,3,229,3,2 - 4,Low,M,49,> 10,2339,Small,1,180
89,E,Ship,4,1,186,4,2 - 4,Medium,F,57,> 10,3880,Medium,1,129
90,D,Ship,5,3,174,6,2 - 4,High,F,41,> 10,1085,Small,1,133
91,E,Ship,5,5,286,3,2 - 4,Low,F,18,> 10,3163,Medium,1,268
92,A,Ship,4,4,175,2,0 - 2,Medium,F,7,4 - 10,1188,Small,1,168
93,B,Ship,3,3,219,3,2 - 4,Medium,F,17,> 10,3387,Medium,1,202
94,C,Ship,4,1,213,4,2 - 4,High,F,35,> 10,2343,Small,1,178
95,E,Ship,2,3,235,3,2 - 4,Low,M,57,> 10,2034,Small,1,178
96,D,Ship,3,3,149,2,0 - 2,Medium,M,18,> 10,1225,Small,1,131
97,E,Ship,4,1,271,2,0 - 2,Medium,F,8,4 - 10,2401,Small,1,263
98,A,Ship,3,5,144,4,2 - 4,Medium,M,5,4 - 10,1104,Small,1,139
99,B,Ship,4,2,145,2,0 - 2,Medium,M,21,> 10,1617,Small,1,124
100,C,Ship,5,3,143,2,0 - 2,Medium,M,59,> 10,1837,Small,1,84
101,E,Ship,5,5,227,4,2 - 4,Low,M,53,> 10,2624,Small,1,174
102,D,Ship,2,1,213,3,2 - 4,Low,M,29,> 10,2732,Small,1,184
103,E,Ship,5,1,144,4,2 - 4,Low,M,37,> 10,1658,Small,1,107
104,A,Ship,3,3,218,3,2 - 4,Low,M,3,0 - 4,2255,Small,1,215
105,B,Ship,4,2,144,3,2 - 4,Medium,M,59,> 10,1588,Small,1,85
106,C,Ship,3,1,238,3,2 - 4,Low,M,17,> 10,2624,Small,1,221
107,E,Ship,4,5,216,3,2 - 4,High,M,26,> 10,2053,Small,1,190
108,D,Ship,4,5,238,3,2 - 4,High,F,55,> 10,3257,Medium,1,183
109,E,Ship,4,1,141,3,2 - 4,Medium,M,47,> 10,1250,Small,1,94
110,A,Road,3,1,158,2,0 - 2,Low,M,2,0 - 4,1284,Small,1,156
111,B,Road,4,2,239,3,2 - 4,Low,F,65,> 10,3679,Medium,1,174
112,C,Road,4,3,175,2,0 - 2,Low,M,25,> 10,1816,Small,1,150
113,E,Road,3,2,263,3,2 - 4,Low,M,41,> 10,2817,Small,1,222
114,D,Road,3,5,168,2,0 - 2,High,M,50,> 10,1616,Small,1,118
115,E,Road,3,4,176,3,2 - 4,High,M,36,> 10,1779,Small,1,140
116,A,Road,4,1,150,4,2 - 4,High,M,60,> 10,1024,Small,1,90
117,B,Road,4,3,265,2,0 - 2,Medium,F,31,> 10,2326,Small,1,234
118,C,Road,2,5,263,3,2 - 4,Low,F,5,4 - 10,2947,Medium,1,258
119,E,Road,5,1,145,3,2 - 4,Low,M,20,> 10,1387,Small,1,125
120,D,Road,4,2,183,3,2 - 4,Low,F,33,> 10,2741,Small,1,150
121,E,Road,3,3,205,3,2 - 4,Medium,F,19,> 10,2167,Small,1,186
122,A,Road,4,2,160,3,2 - 4,Low,M,64,> 10,1714,Small,1,96
123,B,Road,3,3,252,2,0 - 2,Medium,F,48,> 10,2102,Small,1,204
124,C,Road,5,5,222,3,2 - 4,Low,M,10,> 10,2280,Small,1,212
125,E,Road,3,3,203,2,0 - 2,Low,M,25,> 10,3607,Medium,1,178
126,D,Road,4,5,220,3,2 - 4,Medium,M,40,> 10,3516,Medium,1,180
127,E,Road,3,3,147,4,2 - 4,Low,F,60,> 10,1722,Small,1,87
128,A,Road,4,4,200,4,2 - 4,Medium,M,16,> 10,2060,Small,1,184
129,B,Road,4,5,224,4,2 - 4,Medium,M,21,> 10,2026,Small,1,203
130,C,Road,3,5,179,2,0 - 2,Low,F,17,> 10,1364,Small,1,162
131,E,Road,3,4,144,3,2 - 4,Low,M,50,> 10,1865,Small,1,94
132,D,Flight,5,2,247,3,2 - 4,Low,M,17,> 10,3889,Medium,1,230
133,E,Flight,5,4,280,6,2 - 4,Medium,F,51,> 10,3582,Medium,1,229
134,A,Flight,3,3,168,2,0 - 2,Medium,F,1,0 - 4,1829,Small,1,167
135,B,Flight,3,5,157,3,2 - 4,Medium,F,4,0 - 4,1889,Small,1,153
136,C,Flight,3,3,189,4,2 - 4,Medium,F,51,> 10,2208,Small,1,138
137,E,Flight,3,5,162,2,0 - 2,Medium,M,7,4 - 10,1739,Small,1,155
138,D,Flight,4,1,207,5,2 - 4,Low,M,48,> 10,2399,Small,1,159
139,E,Flight,5,1,237,2,0 - 2,Low,F,10,> 10,3860,Medium,1,227
140,A,Flight,4,4,264,3,2 - 4,High,M,59,> 10,2020,Small,1,205
141,B,Flight,5,4,149,3,2 - 4,Low,M,51,> 10,1645,Small,1,98
142,C,Flight,5,5,162,3,2 - 4,Low,M,41,> 10,1462,Small,1,121
143,E,Flight,2,1,205,4,2 - 4,Medium,F,63,> 10,2156,Small,1,142
144,D,Flight,2,1,158,3,2 - 4,Medium,F,51,> 10,1540,Small,1,107
145,E,Flight,2,2,248,2,0 - 2,Low,M,46,> 10,3707,Medium,1,202
146,A,Flight,3,5,191,3,2 - 4,Low,M,23,> 10,3750,Medium,1,168
147,B,Flight,4,3,146,4,2 - 4,Medium,F,24,> 10,1844,Small,1,122
148,C,Flight,3,3,135,3,2 - 4,Low,M,56,> 10,1490,Small,1,79
149,E,Flight,5,1,149,3,2 - 4,Low,M,40,> 10,1062,Small,1,109
150,D,Flight,4,4,220,2,0 - 2,Medium,F,7,4 - 10,2551,Small,1,213
151,E,Flight,5,3,98,5,2 - 4,Medium,M,44,> 10,1269,Small,1,54
152,A,Flight,3,4,97,4,2 - 4,Low,M,32,> 10,1238,Small,1,65
153,B,Flight,3,3,183,2,0 - 2,Low,M,53,> 10,3932,Medium,1,130
154,C,Ship,3,3,162,3,2 - 4,Medium,F,8,4 - 10,1869,Small,1,154
155,E,Ship,5,1,114,4,2 - 4,Low,F,47,> 10,1443,Small,1,67
156,D,Ship,6,3,275,5,2 - 4,Low,M,41,> 10,2491,Small,1,234
157,E,Ship,3,2,203,2,0 - 2,Medium,F,39,> 10,3845,Medium,1,164
158,A,Ship,5,5,205,2,0 - 2,High,M,65,> 10,3671,Medium,1,140
159,B,Ship,3,3,149,3,2 - 4,Low,F,63,> 10,1946,Small,1,86
160,C,Ship,2,2,112,4,2 - 4,Medium,M,56,> 10,1138,Small,1,56
161,E,Ship,3,1,207,3,2 - 4,Medium,F,56,> 10,3482,Medium,1,151
162,D,Ship,4,1,261,4,2 - 4,Low,F,58,> 10,3427,Medium,1,203
163,E,Ship,5,2,274,3,2 - 4,Medium,M,6,4 - 10,3375,Medium,1,268
164,A,Ship,3,5,141,2,0 - 2,Low,M,52,> 10,1692,Small,1,89
165,B,Ship,3,3,166,4,2 - 4,Medium,F,17,> 10,1498,Small,1,149
166,C,Ship,5,2,141,3,2 - 4,High,F,34,> 10,1020,Small,1,107
167,E,Ship,4,5,152,3,2 - 4,Low,M,43,> 10,1709,Small,1,109
168,D,Ship,4,2,250,3,2 - 4,Low,F,53,> 10,2478,Small,1,197
169,E,Ship,4,3,161,3,2 - 4,Medium,F,28,> 10,1809,Small,1,133
170,A,Ship,4,3,185,3,2 - 4,Medium,F,10,> 10,2263,Small,1,175
171,B,Ship,4,4,176,4,2 - 4,High,F,52,> 10,1096,Small,1,124
172,C,Ship,3,4,148,3,2 - 4,Low,M,56,> 10,1550,Small,1,92
173,E,Ship,3,2,270,3,2 - 4,Low,F,63,> 10,2751,Small,1,207
174,D,Ship,3,3,242,3,2 - 4,Low,F,51,> 10,3935,Medium,1,191
175,E,Ship,4,4,150,2,0 - 2,Medium,M,3,0 - 4,1285,Small,1,147
176,A,Ship,4,5,192,3,2 - 4,High,M,20,> 10,3872,Medium,1,172
177,B,Ship,4,5,116,3,2 - 4,Medium,M,54,> 10,1314,Small,1,62
178,C,Ship,3,3,192,3,2 - 4,Medium,F,2,0 - 4,3995,Medium,1,190
179,E,Ship,5,5,255,4,2 - 4,Medium,M,3,0 - 4,3440,Medium,1,252
180,D,Ship,4,1,161,7,2 - 4,Medium,F,18,> 10,1294,Small,1,143
181,E,Ship,4,5,157,3,2 - 4,Low,M,20,> 10,1487,Small,1,137
182,A,Ship,3,2,164,10,> 4,High,F,28,> 10,1940,Small,1,136
183,B,Ship,3,5,162,7,2 - 4,Medium,F,16,> 10,1052,Small,1,146
184,C,Ship,3,3,146,2,0 - 2,Low,M,50,> 10,1486,Small,1,96
185,E,Ship,3,2,209,3,2 - 4,Medium,M,54,> 10,3001,Medium,1,155
186,D,Ship,5,4,134,2,0 - 2,Medium,F,55,> 10,1386,Small,1,79
187,E,Ship,2,1,222,2,0 - 2,Medium,M,5,4 - 10,3778,Medium,1,217
188,A,Ship,2,5,139,3,2 - 4,Low,F,27,> 10,1233,Small,1,112
189,B,Ship,2,4,134,3,2 - 4,Low,F,42,> 10,1415,Small,1,92
190,C,Ship,2,5,130,3,2 - 4,Low,M,16,> 10,1092,Small,1,114
191,E,Ship,2,5,133,3,2 - 4,Low,F,62,> 10,1596,Small,1,71
192,D,Ship,2,4,140,3,2 - 4,Low,F,7,4 - 10,1411,Small,1,133
193,E,Ship,2,2,158,3,2 - 4,Low,M,28,> 10,1968,Small,1,130
194,A,Ship,4,2,270,4,2 - 4,Low,F,46,> 10,1736,Small,1,224
195,B,Ship,2,5,140,3,2 - 4,Low,F,30,> 10,1030,Small,1,110
196,C,Ship,2,2,135,3,2 - 4,Low,M,15,> 10,1339,Small,1,120
197,E,Ship,2,3,136,3,2 - 4,Low,F,19,> 10,1568,Small,1,117
198,D,Ship,2,3,142,3,2 - 4,Medium,F,38,> 10,7640,Large,1,104
199,E,Ship,2,2,154,3,2 - 4,Medium,M,38,> 10,7846,Large,1,116
200,A,Ship,2,3,139,3,2 - 4,Low,M,9,4 - 10,1471,Small,1,130
201,B,Ship,2,3,160,3,2 - 4,Low,F,43,> 10,1251,Small,1,117
202,C,Ship,2,4,134,3,2 - 4,Low,M,58,> 10,1067,Small,1,76
203,E,Ship,5,3,161,5,2 - 4,High,M,48,> 10,1883,Small,1,113
204,D,Ship,2,5,155,3,2 - 4,Low,M,23,> 10,1602,Small,1,132
205,E,Ship,2,3,145,3,2 - 4,Medium,F,24,> 10,7588,Large,1,121
206,A,Ship,2,2,157,3,2 - 4,Low,M,1,0 - 4,1477,Small,1,156
207,B,Ship,2,2,160,3,2 - 4,Low,M,48,> 10,1691,Small,1,112
208,C,Ship,2,4,152,3,2 - 4,Low,M,55,> 10,1498,Small,1,97
209,E,Ship,2,5,148,3,2 - 4,High,F,11,> 10,1502,Small,1,137
210,D,Ship,2,1,127,3,2 - 4,Low,F,15,> 10,1522,Small,1,112
211,E,Ship,2,5,154,3,2 - 4,Low,F,21,> 10,1113,Small,1,133
212,A,Ship,2,5,127,3,2 - 4,Low,M,44,> 10,1341,Small,1,83
213,B,Ship,2,5,160,3,2 - 4,Medium,F,31,> 10,7401,Large,1,129
214,C,Ship,2,4,129,3,2 - 4,Low,F,48,> 10,1219,Small,1,81
215,E,Ship,2,5,158,3,2 - 4,Low,F,40,> 10,1722,Small,1,118
216,D,Ship,4,3,185,3,2 - 4,Medium,M,3,0 - 4,3131,Medium,1,182
217,E,Ship,4,4,176,4,2 - 4,High,F,63,> 10,1293,Small,1,113
218,A,Ship,3,4,148,3,2 - 4,Low,M,37,> 10,1523,Small,1,111
219,B,Ship,3,5,270,3,2 - 4,Low,M,60,> 10,3885,Medium,1,210
220,C,Ship,3,4,242,3,2 - 4,Low,M,29,> 10,2381,Small,1,213
221,E,Ship,4,3,150,2,0 - 2,Medium,M,31,> 10,1588,Small,1,119
222,D,Ship,4,2,192,3,2 - 4,High,M,4,0 - 4,2061,Small,1,188
223,E,Ship,4,5,116,3,2 - 4,Medium,F,9,4 - 10,1314,Small,1,107
224,A,Ship,3,4,192,3,2 - 4,Medium,F,31,> 10,3331,Medium,1,161
225,B,Ship,5,4,255,4,2 - 4,Medium,F,38,> 10,2771,Small,1,217
226,C,Ship,4,3,161,7,2 - 4,Medium,M,63,> 10,1496,Small,1,98
227,E,Ship,4,2,157,3,2 - 4,Low,F,48,> 10,1393,Small,1,109
228,D,Ship,3,2,164,10,> 4,High,M,14,> 10,1375,Small,1,150
229,E,Ship,3,3,162,7,2 - 4,Medium,F,42,> 10,1278,Small,1,120
230,A,Ship,3,1,146,2,0 - 2,Low,F,54,> 10,1528,Small,1,92
231,B,Ship,3,4,209,3,2 - 4,Medium,F,60,> 10,2240,Small,1,149
232,C,Ship,5,5,134,2,0 - 2,Medium,M,53,> 10,1088,Small,1,81
233,E,Ship,2,1,222,2,0 - 2,Medium,M,58,> 10,3626,Medium,1,164
234,D,Ship,2,1,139,3,2 - 4,Low,F,39,> 10,1582,Small,1,100
235,E,Ship,2,2,134,3,2 - 4,Low,M,38,> 10,1352,Small,1,96
236,A,Ship,2,3,130,3,2 - 4,Low,F,48,> 10,1801,Small,1,82
237,B,Ship,2,2,133,3,2 - 4,Low,M,5,4 - 10,1268,Small,1,128
238,C,Ship,2,3,140,3,2 - 4,Low,F,23,> 10,1372,Small,1,117
239,E,Ship,2,3,158,3,2 - 4,Low,M,10,> 10,1515,Small,1,148
240,D,Ship,4,5,270,4,2 - 4,Low,M,65,> 10,1818,Small,1,205
241,E,Ship,2,4,140,3,2 - 4,Low,F,33,> 10,1278,Small,1,107
242,A,Ship,2,2,135,3,2 - 4,Low,M,58,> 10,1734,Small,1,77
243,B,Ship,2,4,136,3,2 - 4,Low,M,43,> 10,1958,Small,1,93
244,C,Ship,2,1,142,3,2 - 4,Medium,F,8,4 - 10,6064,Large,1,134
245,E,Ship,2,4,154,3,2 - 4,Medium,F,48,> 10,7684,Large,1,106
246,D,Ship,2,3,139,3,2 - 4,Low,F,3,0 - 4,1788,Small,1,136
247,E,Road,2,4,160,3,2 - 4,Low,F,50,> 10,1030,Small,1,110
248,A,Road,2,2,134,3,2 - 4,Low,F,38,> 10,1530,Small,1,96
249,B,Road,5,5,161,5,2 - 4,High,F,54,> 10,1511,Small,1,107
250,C,Road,2,3,155,3,2 - 4,Low,F,45,> 10,1639,Small,1,110
251,E,Road,2,2,145,3,2 - 4,Medium,F,5,4 - 10,6102,Large,1,140
252,D,Road,2,1,157,3,2 - 4,Low,M,58,> 10,1930,Small,1,99
253,E,Road,2,5,160,3,2 - 4,Low,F,19,> 10,1399,Small,1,141
254,A,Road,2,2,152,3,2 - 4,Low,F,61,> 10,1800,Small,1,91
255,B,Road,2,2,148,3,2 - 4,High,F,35,> 10,1349,Small,1,113
256,C,Road,2,2,127,3,2 - 4,Low,M,13,> 10,1128,Small,1,114
257,E,Road,2,2,129,3,2 - 4,Medium,F,22,> 10,6614,Large,1,107
258,D,Road,2,3,158,3,2 - 4,Low,F,13,> 10,1245,Small,1,145
259,E,Road,2,4,147,3,2 - 4,Low,M,5,4 - 10,1920,Small,1,142
260,A,Road,2,5,159,3,2 - 4,Low,F,49,> 10,1621,Small,1,110
261,B,Road,2,3,151,3,2 - 4,Low,F,23,> 10,1930,Small,1,128
262,C,Road,3,1,294,4,2 - 4,Low,F,52,> 10,1089,Small,1,242
263,E,Road,3,2,226,2,0 - 2,Medium,M,45,> 10,1446,Small,1,181
264,D,Road,5,3,271,5,2 - 4,High,M,9,4 - 10,1813,Small,1,262
265,E,Road,7,2,203,5,2 - 4,Medium,F,61,> 10,1856,Small,1,142
266,A,Road,2,3,264,4,2 - 4,Low,F,10,> 10,1648,Small,1,254
267,B,Road,4,1,258,3,2 - 4,Medium,M,36,> 10,2211,Small,1,222
268,C,Road,3,5,241,3,2 - 4,Low,F,21,> 10,3078,Medium,1,220
269,E,Flight,4,5,208,3,2 - 4,Medium,M,23,> 10,2056,Small,1,185
270,D,Flight,3,2,209,5,2 - 4,Medium,F,12,> 10,3054,Medium,1,197
271,E,Flight,5,1,182,2,0 - 2,Medium,F,23,> 10,2707,Small,1,159
272,A,Flight,4,5,148,2,0 - 2,Medium,F,43,> 10,1087,Small,1,105
273,B,Flight,2,3,183,2,0 - 2,Medium,F,52,> 10,3199,Medium,1,131
274,C,Flight,3,5,229,6,2 - 4,Medium,M,22,> 10,2717,Small,1,207
275,E,Flight,5,5,115,5,2 - 4,Low,F,26,> 10,1692,Small,1,89
276,D,Flight,4,2,136,3,2 - 4,Low,F,65,> 10,1962,Small,1,71
277,E,Flight,4,4,212,3,2 - 4,Low,M,21,> 10,3307,Medium,1,191
278,A,Flight,4,3,171,3,2 - 4,Low,F,24,> 10,1304,Small,1,147
279,B,Flight,3,1,151,2,0 - 2,Low,M,60,> 10,1925,Small,1,91
280,C,Flight,3,1,205,3,2 - 4,Medium,M,39,> 10,3062,Medium,1,166
281,E,Flight,5,4,147,3,2 - 4,Medium,M,23,> 10,1132,Small,1,124
282,D,Flight,3,3,155,3,2 - 4,Low,F,29,> 10,1712,Small,1,126
283,E,Flight,5,4,165,3,2 - 4,Low,F,20,> 10,1150,Small,1,145
284,A,Flight,5,5,230,3,2 - 4,Low,F,32,> 10,3249,Medium,1,198
285,B,Flight,2,4,181,4,2 - 4,Medium,M,13,> 10,2309,Small,1,168
286,C,Flight,5,3,234,2,0 - 2,Low,F,55,> 10,3308,Medium,1,179
287,E,Flight,4,4,149,3,2 - 4,Low,M,34,> 10,1977,Small,1,115
288,D,Flight,5,5,156,2,0 - 2,Low,M,44,> 10,1561,Small,1,112
